file,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,pitch,zcr,rmse,speaking_rate,label
1001_DFA_ANG_XX.wav,0.8147806,0.7226247,0.4656032,0.47548488,0.6665013,0.7109922,0.3446969696969696,0.1815349,0.2696293779277202,0
1001_DFA_DIS_XX.wav,0.7668123,0.80088204,0.3788638,0.63759714,0.6939292,0.71146417,0.2955598259054697,0.06979469,0.2857090847309531,1
1001_DFA_FEA_XX.wav,0.8042323,0.6926615,0.535919,0.3947564,0.78877044,0.70848763,0.2684854099436635,0.1976072,0.2410621101429577,2
1001_DFA_HAP_XX.wav,0.8190635,0.71849495,0.4343048,0.47646156,0.77241504,0.7143981,0.2733088165286108,0.18312,0.160699983010121,3
1001_DFA_NEU_XX.wav,0.78775144,0.74395037,0.52245945,0.47289577,0.81283224,0.7079112,0.2632697476045805,0.08861318,0.2053590932258925,4
1001_DFA_SAD_XX.wav,0.7466612,0.8158305,0.40940076,0.6911246,0.7053353,0.71174717,0.2801724137931034,0.05460985,0.1964272711827382,5
1001_IEO_ANG_HI.wav,0.8534343,0.7169224,0.44650218,0.3618966,0.4162214,0.7111173,0.3782516219855551,0.21810429,0.1785636270964296,0
1001_IEO_ANG_LO.wav,0.75836253,0.8300945,0.496298,0.48967645,0.62469906,0.711316,0.2500160668380463,0.072651885,0.2142787796412708,0
1001_IEO_ANG_MD.wav,0.77873963,0.8729522,0.39569923,0.5439046,0.41896236,0.7129944,0.3226657984936634,0.09380196,0.3660590762360137,0
1001_IEO_DIS_HI.wav,0.80592716,0.7473322,0.39369023,0.47035983,0.5595773,0.70955634,0.3392799101734479,0.12746534,0.1964272711827382,1
1001_IEO_DIS_LO.wav,0.7011609,0.93161637,0.35702783,0.6876645,0.3623371,0.71189576,0.2505946576840114,0.02901336,0.1964272711827382,1
1001_IEO_DIS_MD.wav,0.75873435,0.8138485,0.49650472,0.47572568,0.5158664,0.7107418,0.3088203022133048,0.058268912,0.1696318050532754,1
1001_IEO_FEA_HI.wav,0.85028815,0.67913836,0.47890592,0.30534965,0.56814206,0.7088722,0.3146241305005292,0.2542292,0.0803499915050605,2
1001_IEO_FEA_LO.wav,0.774562,0.78886765,0.52832794,0.50355273,0.50488025,0.7123721,0.3177612899512719,0.08024111,0.0714181694619062,2
1001_IEO_FEA_MD.wav,0.80330336,0.780358,0.44493142,0.46912566,0.47856474,0.7106232,0.3403654856376439,0.13052604,0.0892818135482148,2
1001_IEO_HAP_HI.wav,0.882902,0.7029616,0.2375685,0.32903874,0.36108047,0.7103311,0.4206945047240676,0.29406154,0.1339287881362102,3
1001_IEO_HAP_LO.wav,0.76849574,0.8176173,0.45170724,0.55610013,0.5033775,0.71375245,0.2887753595497811,0.07824545,0.1160651440499017,3
