,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,pitch,zcr,rmse,speaking_rate
1001_DFA_ANG_XX.wav,-341.98892,120.799965,-9.834449,39.60623,-2.239531,6.8383605e-07,0.08058120265151515,0.04048649,2.2756009070294785
1001_DFA_DIS_XX.wav,-388.46194,133.88211,-17.753077,53.109615,-0.5168538,8.9979335e-07,0.0690942141089109,0.015565833,2.3356916099773244
1001_DFA_FEA_XX.wav,-352.20844,115.79107,-3.4151676,32.881832,5.4398932,-4.6219617e-07,0.06276491855053191,0.044070985,2.168843537414966
1001_DFA_HAP_XX.wav,-337.83957,120.109604,-12.691747,39.687584,4.4126534,2.2422803e-06,0.06389250578703703,0.040840004,1.8685260770975056
1001_DFA_NEU_XX.wav,-368.17557,124.36494,-4.6439185,39.390568,6.951158,-7.259681e-07,0.06154563210227273,0.019762794,2.035419501133787
1001_DFA_SAD_XX.wav,-407.98492,136.38103,-14.965291,57.568268,0.19953784,1.0292844e-06,0.06549703663793104,0.012179262,2.0020408163265304
1001_IEO_ANG_HI.wav,-304.54016,119.846725,-11.578222,30.144724,-17.958998,7.4108544e-07,0.08842540922619048,0.04864231,1.9352834467120181
1001_IEO_ANG_LO.wav,-396.64832,138.76552,-7.0322556,40.788338,-4.8650284,8.3199313e-07,0.058447265625,0.016203053,2.06875283446712
1001_IEO_ANG_MD.wav,-376.90643,145.92996,-16.216133,45.305355,-17.786846,1.5999774e-06,0.0754308867872807,0.02092001,2.635963718820862
1001_IEO_DIS_HI.wav,-350.56638,124.930275,-16.399538,39.179333,-8.955166,2.6822596e-08,0.07931483477011494,0.028427724,2.0020408163265304
1001_IEO_DIS_LO.wav,-452.0668,155.73676,-19.746529,57.280056,-21.343338,1.0972594e-06,0.05858252514367816,0.0064706514,2.0020408163265304
1001_IEO_DIS_MD.wav,-396.28812,136.0497,-7.01338,39.62629,-11.70054,5.6925415e-07,0.07219416920731707,0.012995318,1.901904761904762
1001_IEO_FEA_HI.wav,-307.58823,113.530426,-8.620015,25.434559,-8.417234,-2.86243e-07,0.07355095358455882,0.056698997,1.5682539682539682
1001_IEO_FEA_LO.wav,-380.9538,131.87369,-4.1081724,41.944187,-12.390553,1.315239e-06,0.07428434001865672,0.017895626,1.534875283446712
1001_IEO_FEA_MD.wav,-353.1084,130.45114,-11.72162,39.07653,-14.0433655,5.1497784e-07,0.07956861413043478,0.029110331,1.6016326530612246
1001_IEO_HAP_HI.wav,-275.99103,117.512924,-30.65223,27.407778,-21.422266,3.813016e-07,0.09834745332792208,0.065582536,1.7684807256235828
1001_IEO_HAP_LO.wav,-386.831,136.67972,-11.103042,46.3212,-12.484938,1.9468516e-06,0.06750818201013513,0.017450549,1.7017233560090703
1001_IEO_HAP_MD.wav,-365.77426,126.23884,-7.1646523,36.064945,-7.862125,1.092247e-06,0.0716824001736111,0.02600463,1.668344671201814
1001_IEO_NEU_XX.wav,-400.63788,142.61137,-14.391994,53.91931,-17.122272,5.7951723e-07,0.07099892436594203,0.012159063,1.6016326530612246
1001_IEO_SAD_HI.wav,-413.7602,143.86665,-5.666175,45.35222,-7.2267423,-7.8369425e-07,0.06336992636494253,0.012162778,2.0020408163265304
1001_IEO_SAD_LO.wav,-420.27896,150.5041,-8.076007,51.127,-16.300869,-1.9819286e-06,0.06005859375,0.009546213,1.901904761904762
1001_IEO_SAD_MD.wav,-409.70264,156.38214,-15.970477,52.064075,-16.090136,-6.98339e-07,0.06415364583333333,0.0101528065,1.7351020408163265
1001_IOM_ANG_XX.wav,-361.42056,124.749916,-8.608848,43.41816,7.0454698,1.0417534e-06,0.060732634171195655,0.02637216,2.1354648526077096
1001_IOM_DIS_XX.wav,-418.9762,145.83081,-14.035005,56.63109,-4.9551067,7.7982907e-07,0.05601283482142857,0.010480117,2.2689795918367346
1001_IOM_FEA_XX.wav,-327.26437,130.17848,-17.907108,51.539005,2.4138844,2.0735554e-06,0.06459206681910569,0.0409735,2.836190476190476
1001_IOM_HAP_XX.wav,-355.906,126.50939,-4.5521803,45.11157,-1.7627031,1.7525579e-06,0.05227976831896552,0.036329016,2.0020408163265304
1001_IOM_NEU_XX.wav,-388.0925,131.69484,-2.2855356,45.978367,0.005111552,1.068707e-06,0.05195860105140187,0.020638598,2.4691609977324265
1001_IOM_SAD_XX.wav,-394.01,145.51904,-12.389442,50.940018,-4.710967,4.3186557e-07,0.05748930431547619,0.015473258,1.9352834467120181
1001_ITH_ANG_XX.wav,-340.61044,134.92026,-21.075167,38.582977,-3.4936697,1.6802909e-06,0.07189585861650485,0.028485097,2.3690249433106576
1001_ITH_DIS_XX.wav,-373.53696,144.1116,-36.719215,55.556995,-15.289499,3.9942765e-07,0.08255589261968085,0.011895969,2.168843537414966
1001_ITH_FEA_XX.wav,-306.65485,127.63027,-17.447819,28.87263,-2.4559176,9.0890796e-07,0.06517749828296704,0.04985629,2.1021315192743764
1001_ITH_HAP_XX.wav,-333.68625,134.18234,-17.615828,33.308327,-3.0988884,1.678817e-06,0.06442118136682243,0.0369888,2.4691609977324265
1001_ITH_NEU_XX.wav,-374.95395,143.11989,-17.828283,44.35757,-5.6629815,6.7085125e-07,0.06174813329646018,0.017135654,2.6026303854875286
1001_ITH_SAD_XX.wav,-413.8703,151.05334,-25.708282,58.82877,-11.361869,9.969281e-07,0.0660791489684466,0.00953248,2.3690249433106576
